작성자,작성일,내용
ssmdggranturismo,2022년 09월 13일,"SSMDG Classicsracer Sport Compact Car Championship 2022
第二回合，日本－京都賽車場 -山際（反向）
精彩賽事相簿

本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。

賽季第二回合在九月八日晩上十時正，位於日本－京都賽車場 -山際（反向） （Kyoto Driving Park – Yamagiwa (Reverse)）舉行三場十二圈衝刺賽。

經過三場激烈嘅比賽，賽事成績如下，
#第三場
第一名：Car 86 -Ka Hei Chan (FSR_Takumi86), Renault Megane RS [BOP +110kg]
第二名：Car 93 - Vincent Lau (FSR_Kahung93), Ford Focus ST [BOP +58kg]
第三名：Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR), Renault Megane RS [BOP +137kg]
最快圈速1:37.850
Car 86 -Ka Hei Chan (FSR_Takumi86), Renault Megane RS [BOP +110kg]

其餘比賽成績，歡迎到SSMDG官網比賽成績分頁細閱，
https://bemho7.wixsite.com/csccc2022/post/round-2-result-and-race-information

大會衷心恭喜，本回合各勝出車手！

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GaemsBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
ssmdggranturismo,2022년 09월 13일,"SSMDG Classicsracer Sport Compact Car Championship 2022
第二回合，日本－京都賽車場 -山際（反向）
精彩賽事相簿

本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。

賽季第二回合在九月八日晩上十時正，位於日本－京都賽車場 -山際（反向） （Kyoto Driving Park – Yamagiwa (Reverse)）舉行三場十二圈衝刺賽。

經過三場激烈嘅比賽，賽事成績如下，
#第二場
第一名：Car 76 - Leo Leung (R4m_R4mborghini), Renault Megane RS [BOP +125kg]
第二名：Car 127 - Jactin Chung (JC_127_), Renault Megane RS [BOP +112kg]
第三名：Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR), Renault Megane RS [BOP +137kg]
最快圈速1:38.095
Car 76 - Leo Leung (R4m_R4mborghini), Renault Megane RS [BOP +125kg]

其餘比賽成績，歡迎到SSMDG官網比賽成績分頁細閱，
https://bemho7.wixsite.com/csccc2022/post/round-2-result-and-race-information

大會衷心恭喜，本回合各勝出車手！

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GaemsBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
ssmdggranturismo,2022년 09월 13일,"SSMDG Classicsracer Sport Compact Car Championship 2022
第二回合，日本－京都賽車場 -山際（反向）
精彩賽事相簿

本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。

賽季第二回合在九月八日晩上十時正，位於日本－京都賽車場 -山際（反向） （Kyoto Driving Park – Yamagiwa (Reverse)）舉行三場十二圈衝刺賽。

經過三場激烈嘅比賽，賽事成績如下，
#第一場
第一名: Car 127 - Jactin Chung (JC_127_), Renault Megane RS [BOP +112kg]
第二名: Car 76 - Leo Leung (R4m_R4mborghini), Renault Megane RS [BOP +125kg]
第三名: Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR), Renault Megane RS [BOP +137kg]
最快圈速1:38.291
Car 76 - Leo Leung (R4m_R4mborghini), Renault Megane RS [BOP +125kg]

其餘比賽成績，歡迎到SSMDG官網比賽成績分頁細閱，
https://bemho7.wixsite.com/csccc2022/post/round-2-result-and-race-information

大會衷心恭喜，本回合各勝出車手！

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GaemsBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
yongwoo_kim66,2022년 09월 13일,"#Lf쏘나타 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
ryu6950,2022년 09월 13일,"투싼 신형 AGM 80 교체 완료!!!

명절 대체휴무라 영업하시냐고 문의 들어온 건

이전에 방전 되셔서 현대서비스랑 이곳 저곳 배터리 가격 문의 하시다가 다시 문의 들어온 차주님

저에게 온 손님을 그냥 놓칠 수 없으니 제가 해드릴 수 있는건 그냥 가격으로 기절 시켜 드렸습니다 ㅎㅎ

주위 소개 꼭 부탁드리겠습니다!!!

카드 결제도 환영 합니다^^

배터리 판매업 사업자도 있습니다^^

#순천#오천지구#투싼신형#4년째사용#배터리사망#방전여러번#명절대체휴일날#방전#agm80밧데리
#로케트배터리#최신제조년도#출장교체#가격으로보답#수덕배터리#순천배터리#순천밧데리#수덕렉카#순천수덕렉카#렉카#카드결제환영#배터리사업자"
ssmdggranturismo,2022년 09월 12일,"SSMDG Classicsracer Sport Compact Car Championship 2022
第二回合，日本－京都賽車場 -山際（反向）
賽事成績

本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。

賽季第二回合在九月八日晩上十時正，位於日本－京都賽車場 -山際（反向） （Kyoto Driving Park – Yamagiwa (Reverse)）舉行三場十二圈衝刺賽。

經過三場激烈嘅比賽，分站總成績如下，
第一名: Car 76 - Leo Leung (R4m_R4mborghini)
Renault Megane RS [BOP +125kg] - 55分
第二名: Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR)
Renault Megane RS [BOP +137kg] - 43分
第三名: Car 86 - Ka Hei Chan (FSR_Takumi86)
Renault Megane RS [BOP +125kg] - 42分

而經過兩個回合比賽後，車手錦標賽總積分成績如下， 
第一名: Car 76 - Leo Leung (R4m_R4mborghini)
Renault Megane RS [BOP +125kg] - 114分
第二名: Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR)
Renault Megane RS [BOP +137kg] - 109分
第三名: Car 93 - Vincent Lau (FSR_Kahung93)
Ford Focus ST [BOP +58kg] - 102分

其餘比賽成績，歡迎到SSMDG官網比賽成績分頁細閱，
https://bemho7.wixsite.com/csccc2022/post/round-2-result-and-race-information

大會衷心恭喜，本回合各勝出車手！

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GaemsBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
yongwoo_kim66,2022년 09월 11일,"#올뉴모닝 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
ttu_reviewer,2022년 09월 11일,"<내돈내산> 인천문학구장(SSG랜더스필드) 맛집_로케트배터리 외야파티덱 8인 29번_추석 기아타이거즈전

#인천문학구장 #문학구장 #SSG랜더스 #SSG랜더스필드 #랜더스필드 #로케트배터리 #로케트배터리외야파티덱 #랜더스필드좌석 #문학구장좌석 #랜더스필드테이블석 #문학구장테이블석 #기아타이거즈 #교촌치킨 #문학구장맛집 #랜더스필드맛집 #랜더스필드교촌치킨 #버거트레일러 #파인애플샤베트 #치즈푸틴 #문학구장떡볶이 #랜더스필드떡볶이 #문학구장만두 #랜더스필드만두 #문학구장김말이 #랜더스필드김말이 #파파존스 #랜더스필드파파존스 #문학구장파파존스 #스타벅스랜더스필드 #문학구장랜더스필드 

https://m.blog.naver.com/bravoeun/222871700822"
yongwoo_kim66,2022년 09월 10일,"#올란도디젤 밧데리교환 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
yongwoo_kim66,2022년 09월 09일,"#투리스모 그랜져hg 밧데리교환건 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
jamautoextras,2022년 09월 08일,"Get a free battery test. Head to JamAutoExtras today!
#miatsubattery #rocketbattery #tropicalbattery #carbattery #autocenter #autocenters #autocentre"
ssmdggranturismo,2022년 09월 08일,"SSMDG Classicsracer Sport Compact Car Championship 2022
揭背前驅之戰
第二回合，日本－京都賽車場 -山際（反向）
天氣：C03黑暗的陰天
場地時間：上午，下午，旁晩，日落
本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。
賽季第二回合將會在今晩十時正，位於日本－京都賽車場 -山際（反向） （Kyoto Driving Park – Yamagiwa (Reverse)）舉行三場十二圈衝刺賽。
古城京都自古以來皆為日本的政治與文化中心，這座賽車場即位於京都外郊的山區。一共有三個關卡可供選擇，包括完整賽道「山際」、賽道日路線「雅」，以及結合兩者的賽道結構「山際 + 雅」。從木製維修區與賽道兩側的日式圖案，到賽道的石材路面與竹牆，賽道上充滿傳統日本裝飾。
電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！
特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！
Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗
#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GaemsBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
